id,FirstName,LastName,Biography,PublisherId
530,Doug,Cushman,"Since 1978 Doug Cushman has illustrated over 125 children's books, thirty or so of which he wrote as well. Among his many honors he has gained a place on the New York Times Children’s Best Sellers list and on the 2003 Children’s Literature Choice list. The first book of his popular beginning reader series featuring Aunt Eater was a Reading Rainbow Book. He has received a National Cartoonist’s Society Reuben Award for Book Illustration, the 2004 Christopher Award for his book illustrations, a 2007 and 2010 Maryland Blue Crab Award and the 2009 California Young Readers Medal. He illustrated the best selling “Can’t Do” series, including What Dads Can’t Do and What Moms Cant Do for Simon and Schuster. His recent titles include Halloween Good Night and Christmas Eve Good Night, which received a starred review from Kirkus. His first book of poems, Pigmares is due to be published in 2012. He has displayed his original art in France, Romania and the USA, including the prestigious Original Art, the annual children’s book art show at the Society of Illustrators in New York City. He is fan of mystery novels and plays slide guitar horribly. He enjoys cooking, traveling, eating and absorbing French culture and good wine—even designing a wine label for a Burgundy wine maker—in his new home in Paris, France.Since 1978 Doug Cushman has illustrated over 125 children's books, thirty or so of which he wrote as well. Among his many honors he has gained a place on the New York Times Children’s Best Sellers list and on the 2003 Children’s Literature Choice list. The first book of his popular beginning reader series featuring Aunt Eater was a Reading Rainbow Book. He has received a National Cartoonist’s Society Reuben Award for Book Illustration, the 2004 Christopher Award for his book illustrations, a 2007 and 2010 Maryland Blue Crab Award and the 2009 California Young Readers Medal. He illustrated the best selling “Can’t Do” series, including What Dads Can’t Do and What Moms Cant Do for Simon and Schuster. His recent titles include Halloween Good Night and Christmas Eve Good Night, which received a starred review from Kirkus. His first book of poems, Pigmares is due to be published in 2012. He has displayed his original art in France, Romania and the USA, including the prestigious Original Art, the annual children’s book art show at the Society of Illustrators in New York City. He is fan of mystery novels and plays slide guitar horribly. He enjoys cooking, traveling, eating and absorbing French culture and good wine—even designing a wine label for a Burgundy wine maker—in his new home in Paris, France.",1
614,Ben,Mikaelsen,"Ben Mikaelsen has won the International Reading Association Award and the Western Writers Golden Spur Award. His novels have won critical acclaim, as well as several state reader's choice awards. These novels include Rescue Josh McGuire, Sparrow Hawk Red, Stranded, Countdown, Petey, and Touching Spirit Bear. His newest book is ""Jungle of Bones"". Ben's articles and photos appear in numerous magazines around the world. Ben and his wife, Connie, live in a log cabin near Bozeman, Montana, and they adopted a 700-pound black bear that they raised for 27 years.",1
216,Isabel,Vincent,"Isabel Vincent is an award-winning investigative reporter for The New York Post and the author of four books, including Gilded Lily: Lily Safra, The Making of One of the World's Wealthiest Widows. The book is the unauthorized biography of the international philanthropist, whose fourth husband, the banker Edmond Safra, died in a mysterious fire in Monaco. Isabel spent several years researching her subject in Brazil, where the book has been banned by a local court.
She is also the author of the award-winning Bodies and Souls, which tells the story of impoverished Jewish women from the shtetls of Russia and Poland who were forced into prostitution in South America. Isabel won the National Jewish Book Award (Canada) for her work on Bodies and Souls, which has become a primer for activists fighting against sex trafficking around the world today. Her book on Swiss banks and dormant accounts in the Nazi era -- Hitler's Silent Partners -- was the recipient of the Yad Vashem Award for Holocaust History. Her first book, See No Evil, goes behind the scenes in one of Latin America's biggest kidnapping cases.
Vincent began her career in journalism as a correspondent in Rio de Janeiro, from which she covered Latin America and Africa. She once bought a house in Rocinha, Rio de Janeiro's biggest shantytown, and traveled through the Amazon Rainforest with Avon ladies who peddled perfume and face cream in the world's remotest cosmetics market. She can sing ""Girl from Ipanema"" in Portuguese, and was the last journalist to interview bossa nova's greatest composer, Antonio Carlos Jobim.
Her next book, Dinner With Edward, will soon be available from Algonquin Books.",1
196,Janis,Owens,"Janis Owens is a novelist, memoirist, folklorist and premier storyteller. She is a native of old Florida, born in Marianna in 1960, the last child and only daughter of an Assembly of God preacher who later became a salesman for the Independent Life Insurance Company. 
She attended the University of Florida, where she was a student of Harry Crews’ Creative Writing Workshop and earned a degree in English with a minor in Southern history. She is the award-winning author of acclaimed novels: My Brother Michael, winner of the Chautauqua South Fiction Award for Best Novel, Myra Sims, The Schooling of Claybird Catts, and her latest, American Ghost (Scribner 2013.) Her essays on Florida life have appeared in the New York Times, Writer’s Digest and many other publications. Author Pat Conroy has called her, “one of the finest novelists of our time.""",1
341,Marilyn,Yalom,"MARILYN YALOM is a former professor of French and a senior scholar at the Clayman Institute for Gender Research at Stanford University. She is the author of widely acclaimed books, such as A History of the Breast, A History of the Wife, Birth of the Chess Queen, The American Resting Place (with photographer son Reid Yalom), How the French Invented Love, and, most recently, The Social Sex: A History of Female Friendship, co-authored with Theresa Donovan Brown. She lives in Palo Alto, California, with her husband, psychiatrist and author Irvin D. Yalom.",1
188,Margaret Wise,Brown,"Margaret Wise Brown wrote hundreds of books and stories during her life, but she is best known for Goodnight Moon and Runaway Bunny. Even though she died over 45 years ago, her books still sell very well. Margaret loved animals. Most of her books have animals as characters in the story. She liked to write books that had a rhythm to them. Sometimes she would put a hard word into the story or poem. She thought this made children think harder when they are reading. She wrote all the time. There are many scraps of paper where she quickly wrote down a story idea or a poem. She said she dreamed stories and then had to write them down in the morning before she forgot them. She tried to write the way children wanted to hear a story, which often isn't the same way an adult would tell a story. She also taught illustrators to draw the way a child saw things. One time she gave two puppies to someone who was going to draw a book with that kind of dog. The illustrator painted many pictures one day and then fell asleep. When he woke up, the papers he painted on were bare. The puppies had licked all the paint off the paper. Margaret died after surgery for a bursting appendix while in France. She had many friends who still miss her. They say she was a creative genius who made a room come to life with her excitement. Margaret saw herself as something else - a writer of songs and nonsense.",1
508,Felicia,Bond,"Margaret Wise Brown wrote hundreds of books and stories during her life, but she is best known for Goodnight Moon and Runaway Bunny. Even though she died over 45 years ago, her books still sell very well. Margaret loved animals. Most of her books have animals as characters in the story. She liked to write books that had a rhythm to them. Sometimes she would put a hard word into the story or poem. She thought this made children think harder when they are reading. She wrote all the time. There are many scraps of paper where she quickly wrote down a story idea or a poem. She said she dreamed stories and then had to write them down in the morning before she forgot them. She tried to write the way children wanted to hear a story, which often isn't the same way an adult would tell a story. She also taught illustrators to draw the way a child saw things. One time she gave two puppies to someone who was going to draw a book with that kind of dog. The illustrator painted many pictures one day and then fell asleep. When he woke up, the papers he painted on were bare. The puppies had licked all the paint off the paper. Margaret died after surgery for a bursting appendix while in France. She had many friends who still miss her. They say she was a creative genius who made a room come to life with her excitement. Margaret saw herself as something else - a writer of songs and nonsense.",1
219,Paul,Showers,"Paul Showers wrote twenty books for the Let's-Read-and-Find-Out Science series, including favorites such as What Happens to a Hamburger? and Where Does the Garbage Go? Mr. Showers worked on the Detroit Free Press, the New York Herald Tribune, and for thirty years, the Sunday New York Times.",1
10,Edward,Miller,"Paul Showers wrote twenty books for the Let's-Read-and-Find-Out Science series, including favorites such as What Happens to a Hamburger? and Where Does the Garbage Go? Mr. Showers worked on the Detroit Free Press, the New York Herald Tribune, and for thirty years, the Sunday New York Times.",1
308,Ginger Foglesong,Guy,"Ginger Foglesong Gibson is the author of the popular bilingual books ¡Fiesta!, Siesta, and ¡Bravo! She grew up in Mexico, Arizona, Switzerland, and Costa Rica and received her B.S. degree in early childhood education from the University of Virginia. She lives in Seattle, Washington.",1
