ISBN,biography
ISBN,
9780060522872,
9780060557812,
9780380800827,
9780060745929,"Kate McMullan has written more than one hundred books for kids, including the award-winning I STINK! and other ‘big vehicle books,’ illustrated by her husband, Jim McMullan. These books are the inspiration for “THE STINKY & DIRTY SHOW,” now streaming its second season on Amazon. She's written books to encourage new readers: the FLUFFY THE CLASSROOM GUINEA PIG series and PEARL & WAGNER, about a rabbit-mouse friendship. She's written the early chapter book series, DRAGON SLAYERS ACADEMY, to entice struggling readers with lots of Medieval mayhem, bad knock-knock jokes, and a pig Latin-speaking pig. For middle graders, Kate has written ten MYTH-O-MANIA books, the Greek myths as told by Hades. Recent picture books include I'M TOUGH!, HOW DO YOU GO TO SLEEP? and AS WARM AS THE SUN starring the McMullan French bulldogs, Toby and Pinkie. Kate grew up in St. Louis and now lives in New York City."
9780060928032,"Ursula Kroeber Le Guin (US /ˈɜːrsələ ˈkroʊbər ləˈɡwɪn/; born October 21, 1929) is an American author of novels, children's books, and short stories, mainly in the genres of fantasy and science fiction. She has also written poetry and essays. First published in the 1960s, her work has often depicted futuristic or imaginary alternative worlds in politics, the natural environment, gender, religion, sexuality and ethnography.
She influenced such Booker Prize winners and other writers as Salman Rushdie and David Mitchell – and notable science fiction and fantasy writers including Neil Gaiman and Iain Banks. She has won the Hugo Award, Nebula Award, Locus Award, and World Fantasy Award, each more than once. In 2014, she was awarded the National Book Foundation Medal for Distinguished Contribution to American Letters. Le Guin has resided in Portland, Oregon since 1959. 
Bio from Wikipedia, the free encyclopedia."
9780060835439,"MERCER MAYER began writing and illustrating children’s books in 1966, and since that time, he has published over 300 titles. Open almost any of the award-winning author/illustrator’s books, and out may pop dragons, cuddly monsters, wonderful creatures, and endearing critters.
“Most of my books are about things that happened to me when I was a little kid,” says Mercer. “Now that I’m a big kid, I write about things that happen now, especially with my own children. They always help remind me of what it was like.”
Born in Little Rock, Arkansas, Mercer Mayer spent his childhood hunting lizards and snakes in the swamps near his home. During his teenage years, he attended the Honolulu Academy of Arts. He later received additional training at the Art Students League in New York City. Upon completion of his studies, he set out with pen and ink to write and illustrate a collection of children’s books, reflecting many of the adventures he experienced as a child.
In 2007, Mr. Mayer was commissioned by Laura Bush to create the artwork used for the National Book Festival held on September 29 on the National Mall. He was an honored guest to the event, giving a demonstration and autographing hundreds of books for fans who attended.MERCER MAYER began writing and illustrating children’s books in 1966, and since that time, he has published over 300 titles. Open almost any of the award-winning author/illustrator’s books, and out may pop dragons, cuddly monsters, wonderful creatures, and endearing critters.
“Most of my books are about things that happened to me when I was a little kid,” says Mercer. “Now that I’m a big kid, I write about things that happen now, especially with my own children. They always help remind me of what it was like.”
Born in Little Rock, Arkansas, Mercer Mayer spent his childhood hunting lizards and snakes in the swamps near his home. During his teenage years, he attended the Honolulu Academy of Arts. He later received additional training at the Art Students League in New York City. Upon completion of his studies, he set out with pen and ink to write and illustrate a collection of children’s books, reflecting many of the adventures he experienced as a child.
In 2007, Mr. Mayer was commissioned by Laura Bush to create the artwork used for the National Book Festival held on September 29 on the National Mall. He was an honored guest to the event, giving a demonstration and autographing hundreds of books for fans who attended."
9780688087456,
9780060853976,
9780060855888,
9780060871253,"Erin Hunter is the author of the bestselling Warriors and Seekers series. She is inspired by a love of animals and a fascination with the ferocity of the natural world. As well as having great respect for nature in all its forms, Erin enjoys creating rich mythical explanations for animal behavior."
9780060888398,
