ISBN,biography
9780060522872,
9780380800827,
9780688087456,
9780060853976,
9780060888398,
9780060536909,
9780061358302,
9780061430459,
9780688046590,
9780061665738,
9780061765285,
9780380820856,
9780061944185,
9780061950704,
9780061958120,
9780061998638,
9780062082992,
9780062104922,
9780060528874,
9780060528881,
9780062115867,
9780062223265,
9780062269645,
9780062269546,
9780062270306,"Cal Peternell ran the kitchens and mentored a new generation of cooks at legendary Chez Panisse in Berkeley for over 20 years. Cal's celebrated cookbooks, the New York Times bestselling Twelve Recipes and A Recipe for Cooking continue to encourage cooks. He is currently at work on Almonds, Anchovies, and Pancetta - A Vegetarian Cookbook, Kind Of. 
 Cal’s podcast, Cooking By Ear, invites listeners to cook along and features guests Frances McDormand, Alexander Payne, Tommy Pico, Mira Nair, Big Freedia, and more.
www.cookingbyearpodcast.com
www.calpeternell.com
@calpeternell"
9780062272157,"Dianne K. Salerni is a former elementary school teacher living in Chester County, Pennsylvania with her husband and two daughters. She writes YA and MG books, including We Hear the Dead, inspiration for the short film The Spirit Game, which premiered at the 2013 Cannes Film Festival, and The Caged Graves, a Junior Library Guild Selection, a finalist in the Tome Society IT List, and a Best YA Historical Novel for 2013 by BookPage.
Her Eighth Day series, a middle grade fantasy about a secret day of the week, has been featured on state reading lists in Florida, Georgia, Virginia, Maine, Minnesota, and Indiana.
Eleanor, Alice, & the Roosevelt Ghosts, a ghost story in an alternate history setting, and Jadie In Five Dimensions, a multi-dimensional science fiction adventure are both Junior Library Guild Gold Standard Selections. Her eighth book, The Carrefour Curse, is expected to release in the spring of 2023."
9780061007224,
9780062275820,
9780062277237,
9780061564901,"Born in Peru and raised in Chile, Isabel Allende is the author of The House of the Spirits, Daughter of Fortune, Paula, My Invented Country and The Japanese Lover. Her books have been translated into more than 35 languages and have sold over 65 million copies worldwide. The Japanese Lover was an international and New York Times bestseller. She lives in California."
9780062281906,
9780062281753,"Welcome! If you'd like to read an excerpt from The December Project, please visit my website, www.saradavidson.com. If you pre-order the book, you'll get a bonus—a free recording we produced of Reb Zalman singing,talking with me,and leading a meditation on letting go. You can start enjoying it right away, before the book arrives.
Now for the BIO:
Sara Davidson first captured America's imagination with her international best seller, ""Loose Change,"" about three women growing up in the Sixties. 
Sara grew up in California and went to Berkeley in the Sixties, where the rite of passage was to ""get stoned, get laid and get arrested."" 
After Berkeley she headed for New York to attend the Columbia Graduate School of Journalism. Her first job was with the Boston Globe, where she became a national correspondent, covering everything from the election campaigns of Bobby Kennedy and Richard Nixon to the Woodstock Festival and the student strike at Columbia.
Returning to New York, she worked as a free-lance journalist for magazines ranging from Harpers, Esquire and the New York Times to Rolling Stone. She was one of the group who developed the craft of literary journalism, combining the techniques of fiction with rigorous reporting to bring real events and people to life. Her work is collected in the textbook, ""The Literary Journalists,"" by Norman Sims.
Sara moved back to California where for 25 years, she alternated between writing for television and writing books. The books tend to fall in the gray zone between memoir and fiction. She uses the voice of the intimate journalist, drawing on material from her life and that of others and shaping it into a narrative that reads like fiction.
In television, she created two drama series, ""Jack and Mike,"" and ""Heart Beat,"" which ran on A.B.C. She was later co-executive producer of ""Dr. Quinn, Medicine Woman,"" wrote hundreds of hours of drama episodes, movies and miniseries, and in 1994 was nominated for a Golden Globe.
In the year 2000, her life began to unravel. She was divorced, her children were leaving for college and she couldn't find work in television. Following her intuition, knowing nobody, she drove to Boulder, Colorado for three months to be a visiting writer at the University of Colorado. She never drove back, and has pieced together a different life which she writes about in Leap!"
9780062282460,
