url,description
https://bulkbookstore.com/less-than-zero-9780060001261,"Perry the Penguin needs 9 clams to buy an ice scooter -- but he's not very good at saving. As Perry earns, spends, finds, loses, and borrows clams, a simple line graph demonstrates the concept of negative numbers."
https://bulkbookstore.com/women-and-autoimmune-disease-the-mysterious-ways-your-body-betrays-itself-9780060081508,
https://bulkbookstore.com/in-the-garden-of-the-north-american-martyrs-stories-9780880014977,"Among the characters you'll find in this collection of twelve stories by Tobias Wolff are a teenage boy who tells morbid lies about his home life, a timid professor who, in the first genuine outburst of her life, pours out her opinions in spite of a protesting audience, a prudish loner who gives an obnoxious hitchhiker a ride, and an elderly couple on a golden anniversary cruise who endure the offensive conviviality of the ship's social director."
https://bulkbookstore.com/amelia-bedelias-family-album-9780060511166-1,"Who could be more zany than Amelia Bedelia, everyone's favorite literal-minded housekeeper? Her family, of course! Meet the wacky members of this very original and entertaining family!"
https://bulkbookstore.com/from-head-to-toe-spanish-edition-de-la-cabeza-a-los-pies-9780060513139,"This high-quality Spanish-language book can be enjoyed by fluent Spanish speakers as well as those learning the language, whether at home or in a classroom."
https://bulkbookstore.com/molly-moons-incredible-book-of-hypnotism-9780060514099,"Molly Moon is no ordinary orphan. When she finds a mysterious old book on hypnotism, she discovers she can make people do whatever she wants. But a sinister stranger is watching her every move and he'll do anything to steal her hypnotic secret..."
https://bulkbookstore.com/walk-this-way-the-autobiography-of-aerosmith-9780060515805,"Walk This Way: The Autobiography of Aerosmith is available in time for the Aerosmith's 40th Anniversary. It's the New York Times bestselling autobiography by the legendary rock group that lived by the motto ""Anything worth doing was worth overdoing."" Aerosmith shook the music world out of its '70s doldrums…and made living on the edge an art form. Walk This Way is the complete and candid story of their meteoric rise to fame, their near destruction due to drugs and excess, and their return to the stage as one of America's greatest rock bands. Cowritten by respected rock journalist Stephen Davis, author of the seminal profile of Led Zeppelin, Hammer of the Gods, and with a new afterward from the band, this edition of the memoir to end all rock memoirs is the perfect  gift for you and your favorite Aerosmith fan."
https://bulkbookstore.com/truesight-9780060522872,"Everyone in Jacob's colony is born blind. It has always been this way. They embrace the philosophy of Truesight: Blindness brings unity, purity, and freedom. It is an exceptional community. Everyone is happy."
https://bulkbookstore.com/living-on-luck-9780876859810,Living on Luck is a collection of letters from the 1960s mixed in with poems and drawings. The ever clever Charles Bukowski fills the pages with his rough exterior and juicy center.
https://bulkbookstore.com/hell-at-the-breech-a-novel-9780060566760,"In 1897, an aspiring politician is mysteriously murdered in the rural area of Alabama known as Mitcham Beat. His outraged friends -- —mostly poor cotton farmers -- form a secret society, Hell-at-the-Breech, to punish the townspeople they believe responsible. The hooded members wage a bloody year-long campaign of terror that culminates in a massacre where the innocent suffer alongside the guilty. Caught in the maelstrom of the Mitcham war are four people: the aging sheriff sympathetic to both sides; the widowed midwife who delivered nearly every member of Hell-at-the-Breech; a ruthless detective who wages his own war against the gang; and a young store clerk who harbors a terrible secret."
https://bulkbookstore.com/hamster-champs-9780060557737,"Stuart J. Murphy travels all over the UnitedStates talking to thousands of kids. And you'll never believe what they talk about: MATH! Stuart shows kids that they use math every day -- to share a pizza, spend their allowance, even sort socks. Stuart writes funny stories about math -- and if you read his books, you'll start to see the fun in math, too."
