"4","Phillip","Margolin","I grew up in New York City and Levittown, New York. In 1965, I graduated from the American University in Washington, D.C., with a bachelor's degree in government. I spent 1965 to 1967 in Liberia, West Africa, as a Peace Corps volunteer, graduated from New York University School of Law in 1970 as a night student. I went nights and worked as a junior high teacher in the South Bronx to support myself. My first job following law school was a clerkship with Herbert M. Schwab, the chief judge of the Oregon Court of Appeals, and from 1972 until 1996, I was in private practice, specializing in criminal defense at the trial and appellate levels. As an appellate attorney I have appeared before the United States Supreme Court, the United States Court of Appeals for the Ninth Circuit, the Oregon Supreme Court, and the Oregon Court of Appeals. As a trial attorney, I handled all sorts of criminal cases in state and federal court, and have represented approximately thirty people charged with homicide, several of whom faced the death penalty. I was the first Oregon attorney to use battered women's syndrome to defend a woman accused of murdering her spouse.
Since 1996, I have been writing full-time. All of my novels have been bestsellers. Heartstone, my first novel, was nominated by the Mystery Writers of America for an Edgar for best original paperback mystery of 1978. My second novel, The Last Innocent Man, was made into an HBO movie. Gone, But Not Forgotten has been sold to more than twenty-five foreign publishers and was made into a miniseries starring Brooke Shields. It was also the Main Selection of the Literary Guild. After Dark was a Book of the Month Club selection. The Burning Man, my fifth novel, published in August 1996, was the Main Selection of the Literary Guild and a Reader's Digest condensed book. My sixth novel, The Undertaker's Widow, was published in 1998 and was a Book of the Month Club selection. Wild Justice (HarperCollins, September 2000) was a Main Selection of the Literary Guild, a selection of the Book of the Month Club, and was nominated for an Oregon Book Award. The Associate was published by HarperCollins in August 2001, and Ties that Bind was published by HarperCollins in March 2003. My tenth novel, Sleeping Beauty, was published by HarperCollins on March 23, 2004. Lost Lake was published by HarperCollins in March 2005 and was nominated for an Oregon Book Award. Proof Positive was published by HarperCollins in July 2006. Executive Privilege was published by HarperCollins in May 2008 and in 2009 was given the Spotted Owl Award for the Best Northwest Mystery. Fugitive was published by HarperCollins on June 2, 2009. Willamette Writers gave me the 2009 Distinguished Northwest Writers Award. My latest novel, Supreme Justice, was published by HarperCollins in May 2010. My next novel, Capitol Murder, will come out in April 2012.
On October 11, 2011, HarperCollins will publish Vanishing Acts, my first Young Adult novel, which I wrote with my daughter, Ami Margolin Rome. Also in October, the short story ""The Case of the Purloined Paget,"" which I wrote with my brother, Jerry, will be published by Random House in the anthology A Study in Sherlock.
In addition to my novels, I have published short stories and nonfiction articles in magazines and law journals. My short story ""The Jailhouse Lawyer"" was selected for the anthology The Best American Mystery Stories 1999. The House on Pine Terrace was selected for the anthology The Best American Mystery Stories 2010. 
From 1996 to 2009 I was the president and chairman of the Board of Chess for Success. I am still heavily involved in the program, and returned to the board after a one-year absence in 2010. Chess for Success is a nonprofit charity that uses chess to teach study skills to elementary- and middle-school children in Title I schools . From 2007 to the present, I have been on the Board of Literary Arts, which sponsors the Oregon Book Awards, the Writers in the Schools program, and Portland Arts and Lectures.","1"
"15","Carolyn","Forche","Carolyn Forché is an American poet, memoirist, editor, and translator. Her books of poetry are Blue Hour, The Angel of History, The Country Between Us, and Gathering the Tribes. Her newest poetry collection, In the Lateness of the World, is forthcoming from Penguin Press in 2020. In 2013, Forché received the Academy of American Poets Fellowship given for distinguished poetic achievement. In 2017, she became one of the first two poets to receive the Windham-Campbell Prize. She is a University Professor at Georgetown University. Forché lives in Maryland with her husband, the photographer Harry Mattison.","1"
"16","Vivienne","Lorret","USA TODAY bestselling author Vivienne Lorret transforms copious amounts of tea into words. She is an Avon author of The Wallflower Wedding series, The Rakes of Fallow Hall series, The Season's Original series, the Misadventures in Matchmaking series, and the Mating Habits of Scoundrels series. For more on her upcoming novels, sign up for her newsletter at www.vivlorret.net","1"
"21","Mary J.","Shomon","I'm Mary Shomon, and I'm a patient advocate, author, communications consultant, and mother. I've transformed my own struggle with thyroid disease into an advocacy campaign on behalf of patients with chronic diseases such as thyroid disease, autoimmune conditions, hormonal imbalances, and weight gain, among others.
I was diagnosed with Hashimoto's Thyroiditis in 1995, and now research and write about these conditions and their impact on health and weight. I am a Patient Expert at HealthCentral.com, writing on Thyroid and Diabetes. For 20 years, I was Thyroid Expert for the Verywell.com Thyroid site (formerly About.com). 
I am editor of my popular patient thyroid news report, Sticking Out Our Necks, and the co-star in the Healthy Hormones series of programs on PBS. I also blog at the Huffington Post. 
In my patient advocacy role, I bring much-needed attention to underdiagnosed and often overlooked health issues. My desire to cut through medical jargon and deliver information to my fellow patients in a form they can understand resulted in my first health-related book, Living Well With Hypothyroidism: What Your Doctor Doesn't Tell You . . . That You Need to Know, which was first published in 2000 by HarperCollins, and has gone to more than 20 printings before a 2nd Revised Edition was published. The book was a Prevention Book Club Selection, and Amazon Top-Selling health book, and its popularity launched a new series of consumer health books for publisher HarperCollins.
I am also author of the New York Times best-selling book The Thyroid Diet: Manage Your Metabolism for Lasting Weight Loss. (2004) ""Thyroid Diet"" was also a semi-finalist for the prestigious Quills Awards in 2005. The newest edition of this popular book is The Thyroid Diet Revolution.
My latest books are ""Hair Loss Master Plan"" (with internationally renowned hair stylist and hair loss expert Brent Hardgrave), Your Healthy Pregnancy with Thyroid Disease"" (with HypothyroidMom's Dana Trentini), and ""Quinoa Mac and Cheese"" (with Brigitte Britton and Lisa Moretti). I am also author of Living Well With Graves' Disease and Hyperthyroidism, Living Well With Autoimmune Disease, Living Well With Chronic Fatigue Syndrome and Fibromyalgia,"" (2004), Thyroid Hormone Breakthrough (2005), The Menopause Thyroid Solution, The Thyroid Diet Revolution, and the Thyroid Guide to Hair Loss. 
I've been featured in hundreds of television, radio, newspaper, magazine and web interviews, including appearances on ABC World News Tonight and CBS Radio Networks, and interviews in the New York Times, Wall Street Journal, Ladies Home Journal, Health, Cooking Light, Elle Magazine, Woman's World, and the Los Angeles Times, to name just a few. My goal? To help raise awareness for overlooked and mistreated thyroid and hormonal health issues.
Coaching: I also provide one-on-one personal telephone coaching to help fast-forward you up the learning curve and brainstorm answers to your health questions. Visit http://www.mary-shomon.com/coaching for more information.
In more than two decades of consumer advocacy, I have never hesitated to take a stand on behalf of patients, and my independence from drug companies and medical/patient organizations that are funded by the pharmaceutical industry has allowed me to maintain an unbiased, truly patient-first advocacy effort.
I welcome you to visit my site at http://www.mary-shomon.com and join me at my Facebook support pages, http://www.facebook.com/thyroidsupport and http://www.facebook.com/thyroiddiet - and take time to live well! -- Mary","1"
"27","Robert Young","Pelton","Robert Young Pelton is an explorer, adventurer, author, journalist and documentary filmmaker. An iconoclast known for his entry into most of the world's conflicts over the last twenty five years, Pelton is known for his ability to enter forbidden, deadly and violent places and emerge with a stunning story. His career began with a multi-week profile by ABC News Online called ""Dangerous Places"" where Pelton invented the ""SoJo"" concept of nonstop writing, photos, video and interactive reported from the world's hotspots. Pelton was with US Special Forces and General Dostum during the battle for Qala-I-Jangi in Afghanistan, with Chechen rebels during the siege of Grozny in Chechnya, living with the LURD rebels in Liberia, the MILF in the Philippines, the rebels on Bougainville, the Colombian FARC, the taliban, al Qaeda members, in Sirte, Libya inside the battle against ISIS, the Ukraine and other conflicts. He survived an assassination attempt in Uganda, a plane crash in Indonesia and was kidnapped by AUC death squads in Colombia. His survival tips learned the hard way are contained in survival guide ""Come Back Alive"".His book ""Licensed to Kill, Hired Guns in the War on Terror"" continues to be the only book written from inside and on the ground with mercenary armies and world's best known security contracting firms. He also published a graphic novel ""Roll Hard"" with award winning artist Billy Tucci on the dramatic story of his time spent running Route Irish with doomed team of misfits who worked for Blackwater. Pelton's is best known for his New York Times' best selling guide The World's Most Dangerous Places, provides practical and survival information for people who work and travel in high risk zones. Pelton has worked as a journalist for CBS 60 Minutes, ABC Investigative, National Geographic and CNN. He hosted, directed and produced his Discovery Travel Channel series ""Robert Young Pelton's The World's Most Dangerous Places"". Pelton also wrote a column for National Geographic Adventure and his articles have been featured in magazines that range from Foreign Policy to Bloomberg BusinessWeek.Pelton is the only writer ever to author an entire issue of VICE magazine and produce a accompaning documentary and web event in his landmark piece"" Saving South Sudan"". Pelton's other interests include running ground networks in war zones and helping to build global NGO's.He lives in San Diego where he also designs survival tools for DPx Gear and is the holder of over two dozen patents. Robert Young Pelton's Official Website is:http://www.comebackalive.com","1"
"31","Tilar J.","Mazzeo","Tilar J. Mazzeo is the author of Back Lane Wineries of Sonoma (The Little Bookroom),The New York Times best-selling 'oenobiography 'The Widow Clicquot: The Story of a Champagne Empire and the Woman Who Ruled It (Harper), and the forthcoming Back Lane Wineries of Napa (The Little Bookroom, Spring 2010). The Widow Clicquot has been recognized by Gourmand as the Best Work of Wine Literature in the United States for 2008. A member of the International Food, Wine, and Travel Writers Association, her work has appeared in Food and Wine magazine. She divides her time between the California wine country and the East Coast, where she is a professor of English at Colby College.","1"
"41","Charles","Bukowski","Charles Bukowski is one of America's best-known contemporary writers of poetry and prose, and, many would claim, its most influential and imitated poet. He was born in Andernach, Germany, and raised in Los Angeles, where he lived for fifty years. He published his first story in 1944, when he was twenty-four, and began writing poetry at the age of thirty-five. He died in San Pedro, California, on March 9, 1994, at the age of seventy-three, shortly after completing his last novel, Pulp (1994).","1"
"50","Ann","Patchett","Ann Patchett is the author of six novels, including Bel Canto, which won the Orange Prize for Fiction. She writes for the New York Times Magazine, Elle, GQ, the Financial Times, the Paris Review and Vogue. She lives in Nashville, Tennessee.","1"
"54","Elmore","Leonard","Elmore Leonard wrote forty-five novels and nearly as many western and crime short stories across his highly successful career that spanned more than six decades. Some of his bestsellers include Road Dogs, Up in Honey’s Room, The Hot Kid, Mr. Paradise, Tishomingo Blues, and the critically acclaimed collection of short stories Fire in the Hole. Many of his books have been made into movies, including Get Shorty, Out of Sight, and Rum Punch, which became Quentin Tarantino’s Jackie Brown. Justified, the hit series from FX, is based on Leonard’s character Raylan Givens, who appears in Riding the Rap, Pronto, Raylan and the short story “Fire in the Hole”. He was a recipient of the National Book Foundation’s Medal for Distinguished Contribution to American Letters, the Lifetime Achievement Award from PEN USA, and the Grand Master Award of the Mystery Writers of America. He was known to many as the ‘Dickens of Detroit’ and was a long-time resident of the Detroit area.","1"
"57","Alyssa","Satin","Alyssa Satin Capucilli is the author of the popular books about the little yellow puppy named Biscuit. She lives in Hastings-on-Hudson, New York. 
Photo from Goodreads.","1"
